Thu, 08 Aug 2019 09:23:43 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Thu, 08 Aug 2019 09:25:16 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Thu, 08 Aug 2019 09:25:18 : INFO Opening serial port u'com4'
Thu, 08 Aug 2019 09:25:27 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:27 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:27 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:27 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:28 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:29 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:29 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:29 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:29 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:29 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:###############
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:done
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:Bytes transferred = 11057378 (a8b8e2 hex)
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:vernum = 2.00.00 ls=1888725 rs=9155341 ds =12288
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:Un-Protect Flash Bank # 1
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:............ done
Thu, 08 Aug 2019 09:25:30 : INFO command:download,response:
Thu, 08 Aug 2019 09:25:37 : INFO command:download,response:....................... done
Thu, 08 Aug 2019 09:25:37 : INFO command:download,response:Erased 23 sectors
Thu, 08 Aug 2019 09:25:39 : INFO command:download,response:Copy to Flash... done
Thu, 08 Aug 2019 09:25:39 : INFO command:download,response:
Thu, 08 Aug 2019 09:25:59 : INFO command:download,response:................................................................................ done
Thu, 08 Aug 2019 09:25:59 : INFO command:download,response:Erased 80 sectors
Thu, 08 Aug 2019 09:26:04 : INFO command:download,response:Copy to Flash...
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:done
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:. done
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:Erased 1 sectors
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:Copy to Flash... done
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:write sys0 version_no to eeprom error
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:write sys0 load and check flag to eeprom error
Thu, 08 Aug 2019 09:26:08 : INFO command:download,response:
Thu, 08 Aug 2019 09:26:15 : INFO command:download,response:....................... done
Thu, 08 Aug 2019 09:26:15 : INFO command:download,response:Erased 23 sectors
Thu, 08 Aug 2019 09:26:16 : INFO command:download,response:Copy to Flash... done
Thu, 08 Aug 2019 09:26:16 : INFO command:download,response:
Thu, 08 Aug 2019 09:26:37 : INFO command:download,response:................................................................................ done
Thu, 08 Aug 2019 09:26:37 : INFO command:download,response:Erased 80 sectors
Thu, 08 Aug 2019 09:26:42 : INFO command:download,response:Copy to Flash...
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:done
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:. done
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:Erased 1 sectors
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:Copy to Flash... done
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:write sys1 version_no to eeprom error
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:write sys1 load and check flag to eeprom error
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:Using UEC0 device
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:Filename 'appversion'.
Thu, 08 Aug 2019 09:26:46 : INFO command:download,response:Load address: 0xa00000
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:Loading: *#################################################################
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:#####
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:done
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:Bytes transferred = 358216 (57748 hex)
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:vernum = 2.20.00
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:Un-Protect Flash Bank # 1
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:....................................................................................................
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:............ done
Thu, 08 Aug 2019 09:26:47 : INFO command:download,response:
Thu, 08 Aug 2019 09:26:58 : INFO command:download,response:........................................ done
Thu, 08 Aug 2019 09:26:58 : INFO command:download,response:Erased 40 sectors
Thu, 08 Aug 2019 09:27:03 : INFO command:download,response:Copy to Flash...
Thu, 08 Aug 2019 09:27:03 : INFO command:download,response:done
Thu, 08 Aug 2019 09:27:03 : INFO command:download,response:write app version_no to eeprom error
Thu, 08 Aug 2019 09:27:08 : INFO command:download,response:=>
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:reset
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Resetting the board.
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Reset Status: Software Hard, External/Internal Hard
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Flash: 64 MiB
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:QE: uploading microcode is OK!
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Using default environment
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:In:    serial
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Out:   serial
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Err:   serial
Thu, 08 Aug 2019 09:27:08 : INFO command:reset,response:Net:   UEC0, UEC1
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Please input qwer to enter uboot:#0#  6  6  5  4  3  2  1  0 eth0 mac is not co
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:nform the distributed series, set default mac DC:44:27:A0:00:00
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:eth1 mac is not conform the distributed series, set default mac DC:44:27:A0:00:01
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:sysstartflag is not 0 or 1 then set startflag =0 and set sys0 loadflag=1 checkflag
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:start sys0 version bootm f0120000 f0400000 f0100000
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:## Booting kernel from Legacy Image at f0120000 ...
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Image Name:   Linux-2.6.38.8
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Image Type:   PowerPC Linux Kernel Image (gzip compressed)
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Data Size:    1888661 Bytes = 1.8 MiB
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Load Address: 00000000
Thu, 08 Aug 2019 09:27:14 : INFO command:reset,response:Entry Point:  00000000
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Verifying Checksum ... OK
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:## Loading init Ramdisk from Legacy Image at f0400000 ...
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Image Name:   uRamdisk-ppc_8306
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Image Type:   PowerPC Linux RAMDisk Image (gzip compressed)
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Data Size:    9155277 Bytes = 8.7 MiB
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Load Address: 00000000
Thu, 08 Aug 2019 09:27:15 : INFO command:reset,response:Entry Point:  00000000
Thu, 08 Aug 2019 09:27:18 : INFO command:reset,response:Verifying Checksum ... OK
Thu, 08 Aug 2019 09:27:18 : INFO command:reset,response:## Flattened Device Tree blob at f0100000
Thu, 08 Aug 2019 09:27:18 : INFO command:reset,response:Booting using the fdt blob at 0xf0100000
Thu, 08 Aug 2019 09:27:20 : INFO command:reset,response:Uncompressing Kernel Image ... OK
Thu, 08 Aug 2019 09:27:22 : INFO command:reset,response:Loading Ramdisk to 02cf1000, end 035ac2cd ... OK
Thu, 08 Aug 2019 09:27:22 : INFO command:reset,response:Loading Device Tree to 007fa000, end 007fffff ... OK
Thu, 08 Aug 2019 09:27:22 : INFO command:reset,response:Using MPC8306 SOM machine description
Thu, 08 Aug 2019 09:27:22 : INFO command:reset,response:Linux version 2.6.38.8 (root@lg) (gcc version 4.1.2) #40 Thu Apr 12 03:58:14 CST 2018
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Found initrd at 0xc2cf1000:0xc35ac2cd
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:bootconsole [udbg0] enabled
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:setup_arch: bootmem
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:mpc8306_som_setup_arch()
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:arch: exit
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Zone PFN ranges:
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:DMA      0x00000000 -> 0x00004000
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Normal   empty
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Movable zone start PFN for each node
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:early_node_map[1] active PFN ranges
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:0: 0x00000000 -> 0x00004000
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Built 1 zonelists in Zone order, mobility grouping on.  Total pages: 16256
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Kernel command line: setenv bootargs root=/dev/ram rw console=ttyS5,115200
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:PID hash table entries: 256 (order: -2, 1024 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Dentry cache hash table entries: 8192 (order: 3, 32768 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Inode-cache hash table entries: 4096 (order: 2, 16384 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Memory: 52020k/65536k available (3708k kernel code, 13516k reserved, 128k data, 87k bss, 164k init)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Kernel virtual memory layout:
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:* 0xfffdf000..0xfffff000  : fixmap
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:* 0xfdef9000..0xfe000000  : early ioremap
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:* 0xc5000000..0xfdef9000  : vmalloc & ioremap
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:NR_IRQS:512 nr_irqs:512 16
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:IPIC (128 IRQ sources) at c5000700
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:clocksource: timebase mult[7800001] shift[22] registered
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:pid_max: default: 32768 minimum: 301
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Mount-cache hash table entries: 512
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:NET: Registered protocol family 16
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:bio: create slab <bio-0> at 0
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:SCSI subsystem initialized
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:usbcore: registered new interface driver usbfs
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:usbcore: registered new interface driver hub
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:usbcore: registered new device driver usb
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Switching to clocksource timebase
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:NET: Registered protocol family 2
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:IP route cache hash table entries: 1024 (order: 0, 4096 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:TCP established hash table entries: 2048 (order: 2, 16384 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:TCP bind hash table entries: 2048 (order: 1, 8192 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:TCP: Hash tables configured (established 2048 bind 2048)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:TCP reno registered
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:UDP hash table entries: 256 (order: 0, 4096 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:UDP-Lite hash table entries: 256 (order: 0, 4096 bytes)
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:NET: Registered protocol family 1
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:RPC: Registered udp transport module.
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:RPC: Registered tcp transport module.
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:RPC: Registered tcp NFSv4.1 backchannel transport module.
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Trying to unpack rootfs image as initramfs...
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:rootfs image is not initramfs (no cpio magic); looks like an initrd
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:Freeing initrd memory: 8940k freed
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:JFFS2 version 2.2. (NAND) Â© 2001-2006 Red Hat, Inc.
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:msgmni has been set to 119
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:io scheduler noop registered
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:io scheduler deadline registered
Thu, 08 Aug 2019 09:27:23 : INFO command:reset,response:io scheduler cfq registered (default)
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Serial: 8250/16550 driver, 4 ports, IRQ sharing disabled
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:serial8250.0: ttyS0 at MMIO 0xe0004500 (irq = 16) is a 16550A
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:serial8250.0: ttyS1 at MMIO 0xe0004600 (irq = 16) is a 16550A
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:brd: module loaded
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:loop: module loaded
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:f0000000.flash: Found 1 x16 devices at 0x0 in 16-bit bank. Manufacturer ID 0x000001 Chip ID 0x002301
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Amd/Fujitsu Extended Query Table at 0x0040
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Amd/Fujitsu Extended Query version 1.5.
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:number of CFI chips: 1
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:RedBoot partition parsing not available
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Creating 11 MTD partitions on "f0000000.flash":
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000000000-0x000000080000 : "Uboot_A"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000080000-0x000000100000 : "Uboot_B"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000100000-0x000000120000 : "Dtb_A"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000120000-0x000000400000 : "Linux_A"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000400000-0x000000e00000 : "Ramdisk_A"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000e00000-0x000000e20000 : "Dtb_B"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000000e20000-0x000001100000 : "Linux_B"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000001100000-0x000001b00000 : "Ramdisk_B"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000001b00000-0x000002000000 : "App"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000002000000-0x000002200000 : "Data"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:0x000002200000-0x000004000000 : "Reserved"
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Fixed MDIO Bus: probed
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:ucc_geth: QE UCC Gigabit Ethernet Controller
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:ucc_geth: UCC1 at 0xe0102000 (irq = 17)
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:ucc_geth: UCC2 at 0xe0103000 (irq = 18)
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:usbmon: debugfs is not available
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:ehci_hcd: USB 2.0 'Enhanced' Host Controller (EHCI) Driver
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Initializing USB Mass Storage driver...
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:usbcore: registered new interface driver usb-storage
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:USB Mass Storage support registered.
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:sdhci: Secure Digital Host Controller Interface driver
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:sdhci: Copyright(c) Pierre Ossman
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:TCP cubic registered
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:NET: Registered protocol family 17
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:Registering the dns_resolver key type
Thu, 08 Aug 2019 09:27:24 : INFO command:reset,response:turn off boot console udbg0
Thu, 08 Aug 2019 09:27:24 : INFO [单板网口测试]测试成功，输出:app版本=下载成功
Thu, 08 Aug 2019 09:28:49 : INFO EEPROM测试(编号:03)测试失败：建立连接失败，EEPROM测试失败，输出:<无>
Thu, 08 Aug 2019 09:28:49 : INFO 产品[RD52_RSU][RSDB5单板功能测试工位]测试完成，结果不通过！
